127.0.0.1 - - [26/Apr/2019:13:42:53 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:43:01 +0530] "GET /Mini_Project_Uf/images/bg.jpg HTTP/1.1" 200 390080
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:43:01 +0530] "GET /Mini_Project_Uf/images/bg3.jpg HTTP/1.1" 200 136331
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:43:03 +0530] "GET /Mini_Project_Uf/fonts/fontawesome-webfont.eot? HTTP/1.1" 200 165742
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:43:04 +0530] "GET /Mini_Project_Uf/images/right.png HTTP/1.1" 200 401
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:43:04 +0530] "GET /Mini_Project_Uf/images/left.png HTTP/1.1" 200 396
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:44:07 +0530] "GET /Mini_Project_Uf/adminlogin.html HTTP/1.1" 200 17332
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:44:42 +0530] "GET /Mini_Project_Uf/Home.html HTTP/1.1" 200 16387
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:44:43 +0530] "GET /Mini_Project_Uf/css/style.css HTTP/1.1" 200 52073
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:44:43 +0530] "GET /Mini_Project_Uf/css/bootstrap.css HTTP/1.1" 200 141622
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:44:43 +0530] "GET /Mini_Project_Uf/css/font-awesome.css HTTP/1.1" 200 37414
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:44:43 +0530] "GET /Mini_Project_Uf/css/owl.carousel.css HTTP/1.1" 200 7956
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:44:43 +0530] "GET /Mini_Project_Uf/css/popuo-box.css HTTP/1.1" 200 7092
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:44:43 +0530] "GET /Mini_Project_Uf/css/viewbox.css HTTP/1.1" 200 3443
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:44:43 +0530] "GET /Mini_Project_Uf/js/jquery-2.1.4.min.js HTTP/1.1" 200 84349
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:44:43 +0530] "GET /Mini_Project_Uf/js/responsiveslides.min.js HTTP/1.1" 200 3397
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:44:43 +0530] "GET /Mini_Project_Uf/js/bootstrap.js HTTP/1.1" 200 67546
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:44:43 +0530] "GET /Mini_Project_Uf/js/owl.carousel.js HTTP/1.1" 200 37907
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:44:43 +0530] "GET /Mini_Project_Uf/js/jquery.viewbox.min.js HTTP/1.1" 200 4278
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:44:43 +0530] "GET /Mini_Project_Uf/js/move-top.js HTTP/1.1" 200 1330
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:44:43 +0530] "GET /Mini_Project_Uf/js/jquery.flexisel.js HTTP/1.1" 200 8129
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:44:43 +0530] "GET /Mini_Project_Uf/js/easing.js HTTP/1.1" 200 4758
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:44:43 +0530] "GET /Mini_Project_Uf/js/jquery.magnific-popup.js HTTP/1.1" 200 45732
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:44:44 +0530] "GET /Mini_Project_Uf/images/bg2.jpg HTTP/1.1" 200 146140
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:44:44 +0530] "GET /Mini_Project_Uf/images/bg.jpg HTTP/1.1" 200 390080
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:44:44 +0530] "GET /Mini_Project_Uf/images/bg3.jpg HTTP/1.1" 200 136331
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:44:44 +0530] "GET /Mini_Project_Uf/images/bgc.jpg HTTP/1.1" 200 66449
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:44:45 +0530] "GET /Mini_Project_Uf/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:44:46 +0530] "GET /Mini_Project_Uf/images/right.png HTTP/1.1" 200 401
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:44:46 +0530] "GET /Mini_Project_Uf/images/left.png HTTP/1.1" 200 396
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:44:47 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:45:02 +0530] "GET /Mini_Project_Uf/adminlogin.html HTTP/1.1" 200 17332
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:54:00 +0530] "POST /Mini_Project_Uf/login HTTP/1.1" 200 16442
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:57:17 +0530] "GET /Mini_Project_Uf/Home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:57:45 +0530] "POST /Mini_Project_Uf/login HTTP/1.1" 200 17309
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:57:56 +0530] "GET /Mini_Project_Uf/samplecodeimage.jsp HTTP/1.1" 200 7273
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:57:57 +0530] "GET /Mini_Project_Uf/readImage.jsp?ProductId=3 HTTP/1.1" 200 63232
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:57:57 +0530] "GET /Mini_Project_Uf/readImage.jsp?ProductId=2 HTTP/1.1" 200 37038
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:57:57 +0530] "GET /Mini_Project_Uf/readImage.jsp?ProductId=1 HTTP/1.1" 200 55091
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:58:04 +0530] "GET /Mini_Project_Uf/buyaproduct.jsp?product_name=Generic%20Hudson%20Mark%20Dressing%20Table HTTP/1.1" 200 4412
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:58:05 +0530] "GET /Mini_Project_Uf/css/style1.css HTTP/1.1" 200 8613
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:58:05 +0530] "GET /Mini_Project_Uf/images/banner.jpg HTTP/1.1" 200 9412
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:58:38 +0530] "POST /Mini_Project_Uf/sendemail.jsp HTTP/1.1" 200 7869
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:58:38 +0530] "GET /Mini_Project_Uf/readImage.jsp?ProductId=3 HTTP/1.1" 200 63232
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:58:38 +0530] "GET /Mini_Project_Uf/readImage.jsp?ProductId=1 HTTP/1.1" 200 55091
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:58:38 +0530] "GET /Mini_Project_Uf/readImage.jsp?ProductId=2 HTTP/1.1" 200 37038
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:59:09 +0530] "GET /Mini_Project_Uf/Welcome.jsp HTTP/1.1" 200 17309
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:59:13 +0530] "GET /Mini_Project_Uf/wardrobes_code_image.jsp HTTP/1.1" 200 6475
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:59:14 +0530] "GET /Mini_Project_Uf/wardrobesreadImage.jsp?ProductId=9 HTTP/1.1" 200 36445
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:59:14 +0530] "GET /Mini_Project_Uf/wardrobesreadImage.jsp?ProductId=8 HTTP/1.1" 200 13917
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:59:17 +0530] "GET /Mini_Project_Uf/Welcome.jsp HTTP/1.1" 200 17309
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:59:21 +0530] "GET /Mini_Project_Uf/tvstands_code_image.jsp HTTP/1.1" 200 6422
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:59:22 +0530] "GET /Mini_Project_Uf/tvstandsreadImage.jsp?ProductId=11 HTTP/1.1" 200 22428
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:59:22 +0530] "GET /Mini_Project_Uf/tvstandsreadImage.jsp?ProductId=10 HTTP/1.1" 200 36802
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:59:25 +0530] "GET /Mini_Project_Uf/Welcome.jsp HTTP/1.1" 200 17309
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:59:48 +0530] "POST /Mini_Project_Uf/admin HTTP/1.1" 200 16737
0:0:0:0:0:0:0:1 - - [26/Apr/2019:13:59:56 +0530] "GET /Mini_Project_Uf/Upload.jsp HTTP/1.1" 200 7443
0:0:0:0:0:0:0:1 - - [26/Apr/2019:14:00:44 +0530] "POST /Mini_Project_Uf/FileUploadDBServlet HTTP/1.1" 500 2814
0:0:0:0:0:0:0:1 - - [26/Apr/2019:14:00:50 +0530] "GET /Mini_Project_Uf/adminwelcome.jsp HTTP/1.1" 200 17595
0:0:0:0:0:0:0:1 - - [26/Apr/2019:14:00:58 +0530] "GET /Mini_Project_Uf/vieworders.jsp HTTP/1.1" 200 10114
0:0:0:0:0:0:0:1 - - [26/Apr/2019:14:01:10 +0530] "GET /Mini_Project_Uf/Upload.jsp HTTP/1.1" 200 7443
0:0:0:0:0:0:0:1 - - [26/Apr/2019:14:12:02 +0530] "GET /Mini_Project_Uf/Home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2019:14:12:06 +0530] "GET /Mini_Project_Uf/adminlogin.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2019:14:12:49 +0530] "POST /Mini_Project_Uf/login HTTP/1.1" 200 17309
0:0:0:0:0:0:0:1 - - [26/Apr/2019:14:13:02 +0530] "GET /Mini_Project_Uf/wardrobes_code_image.jsp HTTP/1.1" 200 6475
0:0:0:0:0:0:0:1 - - [26/Apr/2019:14:13:03 +0530] "GET /Mini_Project_Uf/wardrobesreadImage.jsp?ProductId=9 HTTP/1.1" 200 36445
0:0:0:0:0:0:0:1 - - [26/Apr/2019:14:13:03 +0530] "GET /Mini_Project_Uf/wardrobesreadImage.jsp?ProductId=8 HTTP/1.1" 200 13917
0:0:0:0:0:0:0:1 - - [26/Apr/2019:14:13:07 +0530] "GET /Mini_Project_Uf/Welcome.jsp HTTP/1.1" 200 17309
0:0:0:0:0:0:0:1 - - [26/Apr/2019:14:13:11 +0530] "GET /Mini_Project_Uf/samplecodeimage.jsp HTTP/1.1" 200 8619
0:0:0:0:0:0:0:1 - - [26/Apr/2019:14:13:11 +0530] "GET /Mini_Project_Uf/readImage.jsp?ProductId=3 HTTP/1.1" 200 63232
0:0:0:0:0:0:0:1 - - [26/Apr/2019:14:13:11 +0530] "GET /Mini_Project_Uf/readImage.jsp?ProductId=17 HTTP/1.1" 200 37038
0:0:0:0:0:0:0:1 - - [26/Apr/2019:14:13:11 +0530] "GET /Mini_Project_Uf/readImage.jsp?ProductId=1 HTTP/1.1" 200 55091
0:0:0:0:0:0:0:1 - - [26/Apr/2019:14:13:11 +0530] "GET /Mini_Project_Uf/readImage.jsp?ProductId=2 HTTP/1.1" 200 37038
0:0:0:0:0:0:0:1 - - [26/Apr/2019:14:13:16 +0530] "GET /Mini_Project_Uf/Welcome.jsp HTTP/1.1" 200 17309
0:0:0:0:0:0:0:1 - - [26/Apr/2019:14:13:20 +0530] "GET /Mini_Project_Uf/sofa_code_image.jsp HTTP/1.1" 200 7819
0:0:0:0:0:0:0:1 - - [26/Apr/2019:14:13:20 +0530] "GET /Mini_Project_Uf/sofareadImage.jsp?ProductId=7 HTTP/1.1" 200 25309
0:0:0:0:0:0:0:1 - - [26/Apr/2019:14:13:20 +0530] "GET /Mini_Project_Uf/sofareadImage.jsp?ProductId=6 HTTP/1.1" 200 56956
0:0:0:0:0:0:0:1 - - [26/Apr/2019:14:13:20 +0530] "GET /Mini_Project_Uf/sofareadImage.jsp?ProductId=5 HTTP/1.1" 200 56166
0:0:0:0:0:0:0:1 - - [26/Apr/2019:14:13:27 +0530] "GET /Mini_Project_Uf/buyaproduct.jsp?product_name=Alex%20Sectional%20Sofa HTTP/1.1" 200 4397
0:0:0:0:0:0:0:1 - - [26/Apr/2019:14:13:50 +0530] "POST /Mini_Project_Uf/sendemail.jsp HTTP/1.1" 200 9215
0:0:0:0:0:0:0:1 - - [26/Apr/2019:14:13:50 +0530] "GET /Mini_Project_Uf/readImage.jsp?ProductId=2 HTTP/1.1" 200 37038
0:0:0:0:0:0:0:1 - - [26/Apr/2019:14:13:50 +0530] "GET /Mini_Project_Uf/readImage.jsp?ProductId=1 HTTP/1.1" 200 55091
0:0:0:0:0:0:0:1 - - [26/Apr/2019:14:13:50 +0530] "GET /Mini_Project_Uf/readImage.jsp?ProductId=3 HTTP/1.1" 200 63232
0:0:0:0:0:0:0:1 - - [26/Apr/2019:14:13:50 +0530] "GET /Mini_Project_Uf/readImage.jsp?ProductId=17 HTTP/1.1" 200 37038
0:0:0:0:0:0:0:1 - - [26/Apr/2019:14:14:17 +0530] "GET /Mini_Project_Uf/Welcome.jsp HTTP/1.1" 200 17309
0:0:0:0:0:0:0:1 - - [26/Apr/2019:14:14:44 +0530] "POST /Mini_Project_Uf/admin HTTP/1.1" 200 17595
0:0:0:0:0:0:0:1 - - [26/Apr/2019:14:14:54 +0530] "GET /Mini_Project_Uf/Upload.jsp HTTP/1.1" 200 7443
0:0:0:0:0:0:0:1 - - [26/Apr/2019:14:15:21 +0530] "POST /Mini_Project_Uf/FileUploadDBServlet HTTP/1.1" 500 2814
0:0:0:0:0:0:0:1 - - [26/Apr/2019:14:15:26 +0530] "GET /Mini_Project_Uf/adminwelcome.jsp HTTP/1.1" 200 18453
0:0:0:0:0:0:0:1 - - [26/Apr/2019:14:15:49 +0530] "GET /Mini_Project_Uf/vieworders.jsp HTTP/1.1" 200 10114
