0:0:0:0:0:0:0:1 - - [16/Mar/2019:10:35:14 +0530] "POST /Mini_Project_Uf/login HTTP/1.1" 200 17309
0:0:0:0:0:0:0:1 - - [16/Mar/2019:10:35:18 +0530] "GET /Mini_Project_Uf/Home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2019:10:53:39 +0530] "POST /Mini_Project_Uf/login HTTP/1.1" 200 17309
0:0:0:0:0:0:0:1 - - [16/Mar/2019:10:53:43 +0530] "GET /Mini_Project_Uf/samplecodeimage.jsp HTTP/1.1" 200 7273
0:0:0:0:0:0:0:1 - - [16/Mar/2019:10:53:43 +0530] "GET /Mini_Project_Uf/readImage.jsp?ProductId=2 HTTP/1.1" 200 37038
0:0:0:0:0:0:0:1 - - [16/Mar/2019:10:53:43 +0530] "GET /Mini_Project_Uf/readImage.jsp?ProductId=3 HTTP/1.1" 200 63232
0:0:0:0:0:0:0:1 - - [16/Mar/2019:10:53:43 +0530] "GET /Mini_Project_Uf/readImage.jsp?ProductId=1 HTTP/1.1" 200 55091
0:0:0:0:0:0:0:1 - - [16/Mar/2019:10:53:44 +0530] "GET /Mini_Project_Uf/buyaproduct.jsp?product_name=Generic%20Hudson%20Mark%20Dressing%20Table HTTP/1.1" 200 4412
0:0:0:0:0:0:0:1 - - [16/Mar/2019:10:53:55 +0530] "POST /Mini_Project_Uf/sendemail.jsp HTTP/1.1" 200 7869
0:0:0:0:0:0:0:1 - - [16/Mar/2019:10:53:55 +0530] "GET /Mini_Project_Uf/readImage.jsp?ProductId=1 HTTP/1.1" 200 55091
0:0:0:0:0:0:0:1 - - [16/Mar/2019:10:53:55 +0530] "GET /Mini_Project_Uf/readImage.jsp?ProductId=2 HTTP/1.1" 200 37038
0:0:0:0:0:0:0:1 - - [16/Mar/2019:10:53:55 +0530] "GET /Mini_Project_Uf/readImage.jsp?ProductId=3 HTTP/1.1" 200 63232
0:0:0:0:0:0:0:1 - - [16/Mar/2019:10:54:00 +0530] "GET /Mini_Project_Uf/Home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2019:11:12:02 +0530] "POST /Mini_Project_Uf/login HTTP/1.1" 200 17309
0:0:0:0:0:0:0:1 - - [16/Mar/2019:11:12:05 +0530] "GET /Mini_Project_Uf/samplecodeimage.jsp HTTP/1.1" 200 7273
0:0:0:0:0:0:0:1 - - [16/Mar/2019:11:12:05 +0530] "GET /Mini_Project_Uf/readImage.jsp?ProductId=2 HTTP/1.1" 200 37038
0:0:0:0:0:0:0:1 - - [16/Mar/2019:11:12:05 +0530] "GET /Mini_Project_Uf/readImage.jsp?ProductId=1 HTTP/1.1" 200 55091
0:0:0:0:0:0:0:1 - - [16/Mar/2019:11:12:05 +0530] "GET /Mini_Project_Uf/readImage.jsp?ProductId=3 HTTP/1.1" 200 63232
0:0:0:0:0:0:0:1 - - [16/Mar/2019:11:12:10 +0530] "GET /Mini_Project_Uf/buyaproduct.jsp?product_name=Generic%20Hudson%20Mark%20Dressing%20Table HTTP/1.1" 200 4412
0:0:0:0:0:0:0:1 - - [16/Mar/2019:11:12:20 +0530] "POST /Mini_Project_Uf/sendemail.jsp HTTP/1.1" 200 7869
0:0:0:0:0:0:0:1 - - [16/Mar/2019:11:12:20 +0530] "GET /Mini_Project_Uf/readImage.jsp?ProductId=1 HTTP/1.1" 200 55091
